Census_Code_2021,Census_Name_2021,url_name,url_fullname
LGA25250,Moreland,moreland_city,Moreland City Council
LGA25340,Mornington Peninsula,mornington_peninsula,Mornington Peninsula Shire Council
LGA25430,Mount Alexander,,
LGA25490,Moyne,,
LGA25620,Murrindindi,,
LGA25710,Nillumbik,nillumbik,Nillumbik Shire Council
LGA25810,Northern Grampians,,
LGA25900,Port Phillip,city_of_port_phillip,City of Port Phillip
LGA25990,Pyrenees,pyrenees,Pyrenees Shire Council
LGA26080,Queenscliffe,,
LGA26170,South Gippsland,south_gippsland_shire,South Gippsland Shire Council
LGA26260,Southern Grampians,,
LGA26350,Stonnington,stonnington,City of Stonnington
LGA26430,Strathbogie,,
LGA26490,Surf Coast,surf_coast_shire,Surf Coast Shire Council
LGA26610,Swan Hill,swan_hill,Swan Hill Rural City Council
LGA26670,Towong,,
LGA26700,Wangaratta,rural_city_of_wangaratta,Rural City of Wangaratta
LGA26730,Warrnambool,,
LGA26810,Wellington,,
LGA26890,West Wimmera,west_wimmera,West Wimmera Shire Council
LGA26980,Whitehorse,whitehorse,Whitehorse City Council
LGA27070,Whittlesea,city_of_whittlesea,City of Whittlesea
LGA27170,Wodonga,,
LGA27260,Wyndham,wyndham,Wyndham City Council
LGA27350,Yarra,yarra_city,Yarra City Council
LGA27450,Yarra Ranges,yarra_ranges,Yarra Ranges Shire Council
LGA27630,Yarriambiack,,
LGA29399,Unincorporated Vic,,
LGA29499,No usual address (Vic.),,
LGA29799,Migratory - Offshore - Shipping (Vic.),,
LGA30250,Aurukun,,
LGA30300,Balonne,,
LGA30370,Banana,,
LGA30410,Barcaldine,,
LGA30450,Barcoo,,
LGA30760,Blackall Tambo,,
LGA30900,Boulia,,
LGA31000,Brisbane,,
LGA31750,Bulloo,,
LGA31820,Bundaberg,,
LGA31900,Burdekin,,
LGA31950,Burke,,
LGA32080,Cairns,,
LGA32250,Carpentaria,,
LGA32260,Cassowary Coast,,
LGA32270,Central Highlands (Qld),,
LGA32310,Charters Towers,,
LGA32330,Cherbourg,,
LGA32450,Cloncurry,,
LGA32500,Cook,,
LGA32600,Croydon,,
LGA32750,Diamantina,,
LGA32770,Doomadgee,,
LGA32810,Douglas,,
LGA33100,Etheridge,,
LGA33200,Flinders (Qld),,
LGA33220,Fraser Coast,,
LGA33360,Gladstone,,
LGA33430,Gold Coast,,
LGA33610,Goondiwindi,,
LGA33620,Gympie,,
LGA33800,Hinchinbrook,,
LGA33830,Hope Vale,,
LGA33960,Ipswich,,
LGA33980,Isaac,,
LGA34420,Kowanyama,,
LGA34530,Livingstone,,
LGA34570,Lockhart River,,
LGA34580,Lockyer Valley,,
LGA34590,Logan,,
LGA34710,Longreach,,
LGA34770,Mackay,,
LGA34800,McKinlay,,
LGA34830,Mapoon,,
LGA34860,Maranoa,,
LGA34880,Mareeba,,
LGA35010,Moreton Bay,,
LGA35250,Mornington,,
LGA35300,Mount Isa,,
LGA35600,Murweh,,
LGA35670,Napranum,,
LGA35740,Noosa,,
LGA35760,North Burnett,,
LGA35780,Northern Peninsula Area,,
LGA35790,Palm Island,,
LGA35800,Paroo,,
LGA36070,Pormpuraaw,,
LGA36150,Quilpie,,
LGA36250,Redland,,
LGA36300,Richmond,,
LGA36370,Rockhampton,,
LGA36510,Scenic Rim,,
LGA36580,Somerset,,
LGA36630,South Burnett,,
LGA36660,Southern Downs,,
LGA36720,Sunshine Coast,,
LGA36820,Tablelands,,
