short_descriptor,long_descriptor,file
Separate_house_NofB_4,Separate_house_Number_of_bedrooms_Four_bedrooms,G41
Separate_house_NofB_5,Separate_house_Number_of_bedrooms_Five_bedrooms,G41
Separate_house_NofB_6_or_m,Separate_house_Number_of_bedrooms_Six_bedrooms_or_more,G41
Separate_house_NofB_NS,Separate_house_Number_of_bedrooms_Not_stated,G41
Separate_house_Total,Separate_house_Total,G41
Se_d_r_or_t_h_t_1_s_NofB_0_ib,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Se_d_r_or_t_h_t_1_st_NofB_1,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_One_bedroom,G41
Se_d_r_or_t_h_t_1_st_NofB_2,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Two_bedrooms,G41
Se_d_r_or_t_h_t_1_st_NofB_3,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Three_bedrooms,G41
Se_d_r_or_t_h_t_1_st_NofB_4,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Four_bedrooms,G41
Se_d_r_or_t_h_t_1_st_NofB_5,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Five_bedrooms,G41
Se_d_r_or_t_h_t_1_st_NofB_6_m,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Six_bedrooms_or_more,G41
Se_d_r_or_t_h_t_1_st_NofB_NS,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Number_of_bedrooms_Not_stated,G41
Se_d_r_or_t_h_t_1_st_Total,Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Total,G41
Se_d_r_or_t_h_t_2_s_NofB_0_ib,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Se_d_r_or_t_h_t_2_sts_NofB_1,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_One_bedroom,G41
Se_d_r_or_t_h_t_2_sts_NofB_2,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Two_bedrooms,G41
Se_d_r_or_t_h_t_2_sts_NofB_3,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Three_bedrooms,G41
Se_d_r_or_t_h_t_2_sts_NofB_4,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Four_bedrooms,G41
Se_d_r_or_t_h_t_2_sts_NofB_5,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Five_bedrooms,G41
Se_d_r_or_t_h_t_2_st_NofB_6_m,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Six_bedrooms_or_more,G41
Se_d_r_or_t_h_t_2_sts_NofB_NS,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Number_of_bedrooms_Not_stated,G41
Se_d_r_or_t_h_t_2_sts_Total,Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Total,G41
Se_d_r_or_t_h_t_Tot_NofB_0_ib,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Se_d_r_or_t_h_t_Tot_NofB_1,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_One_bedroom,G41
Se_d_r_or_t_h_t_Tot_NofB_2,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Two_bedrooms,G41
Se_d_r_or_t_h_t_Tot_NofB_3,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Three_bedrooms,G41
Se_d_r_or_t_h_t_Tot_NofB_4,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Four_bedrooms,G41
Se_d_r_or_t_h_t_Tot_NofB_5,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Five_bedrooms,G41
Se_d_r_or_t_h_t_Tot_NofB_6_m,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Six_bedrooms_or_more,G41
Se_d_r_or_t_h_t_Tot_NofB_NS,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Number_of_bedrooms_Not_stated,G41
Se_d_r_or_t_h_t_Tot_Total,Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Total,G41
Flt_at_1or2_st_bl_NofB_0_ib,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_at_In_1or2_s_b_NofB_1,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_One_bedroom,G41
Flt_at_In_1or2_s_b_NofB_2,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Two_bedrooms,G41
Flt_at_In_1or2_s_b_NofB_3,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Three_bedrooms,G41
Flt_at_In_1or2_s_b_NofB_4,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Four_bedrooms,G41
Flt_at_In_1or2_s_b_NofB_5,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Five_bedrooms,G41
Flt_at_In_1or2_s_b_NoB_6_m,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_at_In_1or2_s_b_NoB_NS,Flat_or_apartment_In_a_one_or_two_storey_block_Number_of_bedrooms_Not_stated,G41
Flt_at_In_1or2_s_b_Total,Flat_or_apartment_In_a_one_or_two_storey_block_Total,G41
Flt_apt_3_st_bl_NoB_0_ib,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_apt_In_3_st_bl_NofB_1,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_One_bedroom,G41
Flt_apt_In_3_st_bl_NofB_2,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Two_bedrooms,G41
Flt_apt_In_3_st_bl_NofB_3,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Three_bedrooms,G41
Flt_apt_In_3_st_bl_NofB_4,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Four_bedrooms,G41
Flt_apt_In_3_st_bl_NofB_5,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Five_bedrooms,G41
Flt_apt_In_3_s_bl_NofB_6_m,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_apt_In_3_st_bl_NofB_NS,Flat_or_apartment_In_a_three_storey_block_Number_of_bedrooms_Not_stated,G41
Flt_apt_In_3_st_bl_Total,Flat_or_apartment_In_a_three_storey_block_Total,G41
Flt_apt_4to8_s_b_NofB_0_ib,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_apt_4to8_s_b_NofB_1,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_One_bedroom,G41
Flt_apt_4to8_s_b_NofB_2,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Two_bedrooms,G41
Flt_apt_4to8_s_b_NofB_3,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Three_bedrooms,G41
